Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,256,2091068,1.53004e+08,53.4542,349.366,7.46664e+07,3325.65,64,3.90918,66,9,1478,294,1,1,150528,9408,7.30547e+08,111776448,2816.18,282.624,4,222.848,111776448, 8164947, 8164947, 150528, 13.6898, 111776448, 9408, 9408, 9408, 11881, 111776448, 111776448, 3041536, 760384, 1, 1, 12, 1, 1, 1, 1, 11, 11, 11, 12, 14
Resnet50,CONV2_1_1,256,150548,7.52342e+08,85.322,113.408,7.00531e+07,3099.55,64,21.3541,106,9,648,6,1,1,200704,4096,1.70734e+07,12845056,2816.18,56.5248,4,222.848,12845056, 3210304, 3210304, 200704, 4.0012, 12845056, 4096, 4096, 4096, 3136, 12845056, 12845056, 200704, 200704, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV2_1_2,256,886764,2.4681e+08,121.222,491.155,7.00531e+07,3099.55,64,10.5113,151,9,5768,54,1,1,200704,36864,4.35539e+08,107495424,2816.18,56.5248,4,222.848,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV2_1_3,256,602180,9.00637e+08,85.3237,94.737,7.00531e+07,3099.55,64,21.3538,106,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV2_1_Residual,256,12549,4.66236e+07,63.9745,1372.15,7.00531e+07,3099.55,64,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,222.848,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV2_2_1,256,602228,2.49742e+08,85.3169,341.62,7.00531e+07,3099.55,64,21.3589,106,9,648,6,1,1,802816,16384,2.05733e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12844096, 12844096, 802816, 4.0003, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV2_2_2,256,886764,4.95557e+08,121.222,244.618,7.00531e+07,3099.55,64,10.5113,151,9,5768,54,1,1,200704,36864,2.16919e+08,107495424,2816.18,56.5248,4,222.848,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV2_2_3,256,602180,9.00637e+08,85.3237,94.737,7.00531e+07,3099.55,64,21.3538,106,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV2_2_Residual,256,12549,4.66236e+07,63.9745,1372.15,7.00531e+07,3099.55,64,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,222.848,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV2_3_1,256,602228,2.49742e+08,85.3169,341.62,7.00531e+07,3099.55,64,21.3589,106,9,648,6,1,1,802816,16384,2.05733e+08,51380224,2816.18,56.5248,4,222.848,51380224, 12844096, 12844096, 802816, 4.0003, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV2_3_2,256,886764,4.95557e+08,121.222,244.618,7.00531e+07,3099.55,64,10.5113,151,9,5768,54,1,1,200704,36864,2.16919e+08,107495424,2816.18,56.5248,4,222.848,107495424, 9281088, 9281088, 200704, 11.5822, 107495424, 36864, 36864, 36864, 2916, 107495424, 107495424, 186624, 186624, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV2_3_3,256,602180,9.00637e+08,85.3237,94.737,7.00531e+07,3099.55,64,21.3538,106,9,648,6,1,1,200704,16384,5.70487e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 802816, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV2_3_Residual,256,12549,4.66236e+07,63.9745,1372.15,7.00531e+07,3099.55,64,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,222.848,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 4, 8, 4, 4, 4, 4, 1, 1, 1, 256, 1
Resnet50,CONV3_1_1,256,301284,1.35474e+08,85.2688,629.41,7.00531e+07,3099.55,64,21.4356,106,9,648,6,1,1,802816,32768,1.89631e+08,25690112,2816.18,56.5248,4,222.848,25690112, 6420544, 6420544, 802816, 4.00124, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 401408, 401408, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
Resnet50,CONV3_1_2,256,823420,3.25623e+08,121.056,371.769,7.00531e+07,3099.55,64,11.04,151,9,5768,54,1,1,100352,147456,3.06122e+08,99680256,2816.18,56.5248,4,222.848,99680256, 8927808, 8927808, 100352, 11.1651, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 173056, 1, 3, 45, 3, 1, 1, 1, 19, 19, 19, 256, 12
Resnet50,CONV3_1_3,256,602500,8.52689e+08,85.2784,100.011,7.00531e+07,3099.55,64,21.4287,106,9,648,6,1,1,100352,65536,6.02567e+07,51380224,2816.18,56.5248,4,222.848,51380224, 12836928, 12836928, 100352, 4.00253, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 802816, 1, 1, 5, 1, 1, 1, 1, 3, 3, 3, 256, 4
