Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV4_3_3,256,1008135,7.68343e+08,50.9656,66.3318,5.77324e+07,3002.72,32,13.045,64,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_3_Residual,256,6305,1.16897e+07,31.8325,2723.13,5.77324e+07,3002.72,32,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV4_4_1,256,1008519,2.43259e+08,50.9462,209.432,5.77324e+07,3002.72,32,13.0572,64,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_4_2,256,1376439,4.93509e+08,61.7061,125.035,5.77324e+07,3002.72,32,6.45969,77,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,126.019,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 6, 90, 7, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV4_4_3,256,1008135,7.68343e+08,50.9656,66.3318,5.77324e+07,3002.72,32,13.045,64,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_4_Residual,256,6305,1.16897e+07,31.8325,2723.13,5.77324e+07,3002.72,32,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV4_5_1,256,1008519,2.43259e+08,50.9462,209.432,5.77324e+07,3002.72,32,13.0572,64,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_5_2,256,1376439,4.93509e+08,61.7061,125.035,5.77324e+07,3002.72,32,6.45969,77,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,126.019,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 6, 90, 7, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV4_5_3,256,1008135,7.68343e+08,50.9656,66.3318,5.77324e+07,3002.72,32,13.045,64,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_5_Residual,256,6305,1.16897e+07,31.8325,2723.13,5.77324e+07,3002.72,32,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV4_6_1,256,1008519,2.43259e+08,50.9462,209.432,5.77324e+07,3002.72,32,13.0572,64,9,648,6,1,1,200704,262144,2.11216e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12841024, 12841024, 200704, 4.00126, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 50176, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_6_2,256,1376439,4.93509e+08,61.7061,125.035,5.77324e+07,3002.72,32,6.45969,77,9,5768,54,1,1,50176,589824,1.72104e+08,84934656,2816.18,56.5248,4,126.019,84934656, 8221248, 8221248, 50176, 10.3311, 84934656, 589824, 589824, 589824, 144, 84934656, 84934656, 36864, 147456, 1, 6, 90, 7, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV4_6_3,256,1008135,7.68343e+08,50.9656,66.3318,5.77324e+07,3002.72,32,13.045,64,9,648,6,1,1,50176,262144,6.68714e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12828736, 12828736, 50176, 4.00509, 51380224, 262144, 262144, 262144, 196, 51380224, 51380224, 200704, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV4_6_Residual,256,6305,1.16897e+07,31.8325,2723.13,5.77324e+07,3002.72,32,257.306,512,9,1536,6,1,1,200704,1024,1.71693e+07,200704,2816.18,56.5248,4,126.019,200704, 200704, 200704, 200704, 1, 200704, 1024, 1024, 1024, 196, 200704, 200704, 200704, 200704, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV5_1_1,256,511751,1.37208e+08,50.2004,365.871,5.77324e+07,3002.72,32,13.8287,64,9,648,6,1,1,200704,524288,1.87235e+08,25690112,2816.18,56.5248,4,126.019,25690112, 6414400, 6414400, 200704, 4.00507, 25690112, 524288, 524288, 524288, 49, 25690112, 25690112, 100352, 401408, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV5_1_2,256,999223,3.62666e+08,59.0283,162.762,5.77324e+07,3002.72,32,9.67816,77,9,5768,54,1,1,25088,2359296,1.62636e+08,58982400,2816.18,56.5248,4,126.019,58982400, 6808128, 6808128, 25088, 8.66353, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 102400, 1, 6, 90, 11, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV5_1_3,256,1022983,6.36991e+08,50.2259,78.8486,5.77324e+07,3002.72,32,13.8123,64,9,648,6,1,1,25088,1048576,8.06608e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12812352, 12812352, 25088, 4.01021, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 100352, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV5_1_Residual,256,3201,5.89885e+06,31.3502,5314.63,5.77324e+07,3002.72,32,261.224,512,9,1536,6,1,1,100352,2048,1.70121e+07,100352,2816.18,56.5248,4,126.019,100352, 100352, 100352, 100352, 1, 100352, 2048, 2048, 2048, 49, 100352, 100352, 100352, 100352, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV5_2_1,256,1023751,2.67202e+08,50.1882,187.829,5.77324e+07,3002.72,32,13.8368,64,9,648,6,1,1,100352,1048576,1.9229e+08,51380224,2816.18,56.5248,4,126.019,51380224, 12836928, 12836928, 100352, 4.00253, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 25088, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
Resnet50,CONV5_2_2,256,999223,5.29281e+08,59.0283,111.525,5.77324e+07,3002.72,32,9.67816,77,9,5768,54,1,1,25088,2359296,1.11439e+08,58982400,2816.18,56.5248,4,126.019,58982400, 6808128, 6808128, 25088, 8.66353, 58982400, 2359296, 2359296, 2359296, 25, 58982400, 58982400, 12800, 102400, 1, 6, 90, 11, 1, 1, 1, 37, 37, 37, 256, 12
Resnet50,CONV5_2_3,256,1022983,6.36991e+08,50.2259,78.8486,5.77324e+07,3002.72,32,13.8123,64,9,648,6,1,1,25088,1048576,8.06608e+07,51380224,2816.18,56.5248,4,126.019,51380224, 12812352, 12812352, 25088, 4.01021, 51380224, 1048576, 1048576, 1048576, 49, 51380224, 51380224, 100352, 802816, 1, 2, 10, 2, 1, 1, 1, 5, 5, 5, 256, 4
